eiis_code,type,canonical_name,reactor_scope,acronyms,source_standard,notes
17,component,"Switch, Shunting or Discharge",,,IEEE C37.2 device no.,
18A,component,"Device, Accelerating",,,IEEE C37.2 device no.,
18D,component,"Device, Decelerating",,,IEEE C37.2 device no.,
19,component,"Contactor, Starting-To-Running Transition",,,IEEE C37.2 device no.,
20,component,"Valve, Electrically Operated",,,IEEE C37.2 device no.,
21,component,"Relay, Distance",,,IEEE C37.2 device no.,
22,component,"Circuit Breaker, Equalizer",,,IEEE C37.2 device no.,
23,component,"Device, Temperature Control",,,IEEE C37.2 device no.,
24,component,"Relay, Static Breaker Failure",,,IEEE C37.2 device no.,
25,component,Synchronizing or Synchronism-Check Drive,,,IEEE C37.2 device no.,
26,component,"Device, Apparatus Thermal",,,IEEE C37.2 device no.,
27,component,"Relay, Undervoltage",,,IEEE C37.2 device no.,
28,component,"Detector, Flame",,,IEEE C37.2 device no.,
29,component,"Contactor, Isolating",,,IEEE C37.2 device no.,
30,component,"Relay, Annunciator",,,IEEE C37.2 device no.,
31,component,"Device, Separate Excitation",,,IEEE C37.2 device no.,
32,component,"Relay, Directional Power",,,IEEE C37.2 device no.,
33,component,"Switch, Position Measuring",,,IEEE C37.2 device no.,
34,component,"Device, Master Sequence",,,IEEE C37.2 device no.,
35,component,"Device, Brush-Operating or Slip-Ring Short",,,IEEE C37.2 device no.,
36,component,"Device, Polarity or Polarizing Voltage",,,IEEE C37.2 device no.,
37,component,"Relay, Undercurrent or Underpower",,,IEEE C37.2 device no.,
38,component,"Device, Bearing Protective Transfer",,,IEEE C37.2 device no.,
39,component,"Monitor, Mechanical Condition",,,IEEE C37.2 device no.,
40,component,"Relay, Field",,,IEEE C37.2 device no.,
41,component,"Circuit Breaker, Field",,,IEEE C37.2 device no.,
42,component,"Circuit Breaker, Running",,,IEEE C37.2 device no.,
43,component,"Device, Manual Trans/Select",,,IEEE C37.2 device no.,
44,component,"Relay, Unit Sequence Starting",,,IEEE C37.2 device no.,
45,component,"Monitor, Atmospheric Condition",,,IEEE C37.2 device no.,
46,component,"Relay, Phase-Balance Current or Reverse-",,,IEEE C37.2 device no.,
47,component,"Relay, Phase-Sequence Voltage",,,IEEE C37.2 device no.,
48,component,"Relay, Incomplete Sequence",,,IEEE C37.2 device no.,
49,component,"Relay, Machine or Transformer Thermal",,,IEEE C37.2 device no.,
50,component,"Relay, Instantaneous Overcurrent (OC)",,,IEEE C37.2 device no.,
51,component,"Relay, AC Time Overcurrent",,,IEEE C37.2 device no.,
52,component,"Circuit Breaker, AC",,,IEEE C37.2 device no.,
53,component,"Relay, Exciter or DC Generator",,,IEEE C37.2 device no.,
55,component,"Relay, Power Factor",,,IEEE C37.2 device no.,
56,component,"Relay, Field Application",,,IEEE C37.2 device no.,
57,component,"Device, Short-Circuiting or Grounding",,,IEEE C37.2 device no.,
58,component,"Relay, Rectifier Failure",,,IEEE C37.2 device no.,
59,component,"Relay, Overvoltage",,,IEEE C37.2 device no.,
60,component,"Relay, Voltage or Current Balance",,,IEEE C37.2 device no.,
61,component,"Relay, Current Balance",,,IEEE C37.2 device no.,
62,component,"Relay, Time-Delay Stopping or Opening",,,IEEE C37.2 device no.,
63,component,"Switch, Pressure",,,IEEE C37.2 device no.,
64,component,"Relay, Ground Detector (Not CT Secondary)",,,IEEE C37.2 device no.,
65,component,Governor,,,IEEE C37.2 device no.,
